Date,LTL,YTD
1999-11-22,4.0113,?
1999-11-23,3.9987,?
1999-11-24,4.0006,?
1999-11-25,4.0016,?
1999-11-26,4.0017,?
1999-11-29,4.0036,?
1999-11-30,4.0108,?
1999-12-01,4.0047,?
1999-12-02,4.0071,?
1999-12-03,4.0069,?
1999-12-06,4.0059,?
1999-12-07,3.9964,?
1999-12-08,3.9994,?
1999-12-09,4.0024,?
1999-12-10,3.9966,?
1999-12-13,4.0025,?
1999-12-14,3.9994,?
1999-12-15,4.0001,?
1999-12-16,4.0003,?
1999-12-17,4.0018,?
1999-12-20,4.021,?
1999-12-21,3.996,?
1999-12-22,4.0062,?
1999-12-23,4.0003,?
1999-12-24,4.0031,?
1999-12-27,3.9996,?
1999-12-28,3.9991,?
1999-12-29,4.0123,?
1999-12-30,4.0049,?
1999-12-31,3.9985,?
2000-01-03,3.9985,?
2000-01-04,4.0093,?
2000-01-05,4.004,4.0012
2000-01-06,4.0005,4.0012
2000-01-07,4.0041,4.0019
2000-01-10,4.0036,4.0017
2000-01-11,3.9964,4.0006
2000-01-12,4.002,4.0017
2000-01-13,3.9986,4.0007
2000-01-14,4.0034,4.0009
2000-01-17,4.0014,4.0021
2000-01-18,4.0069,4.001
2000-01-19,3.9981,4.0008
2000-01-20,4.0011,3.9997
2000-01-21,4.0024,3.9987
2000-01-24,4.0011,4.0009
2000-01-25,4.0072,4.005
2000-01-26,4.0033,4.0008
2000-01-27,4.0032,3.998
2000-01-28,3.9965,4.0018
2000-01-31,4.0011,4.0016
2000-02-01,4.0025,4.0006
2000-02-02,4.0005,4.0003
2000-02-03,4.0034,4.001
2000-02-04,4.0011,4.0022
2000-02-07,4.0071,4.0024
2000-02-08,4.0043,4.0019
2000-02-09,3.9998,3.9994
2000-02-10,3.9943,3.9997
2000-02-11,4.0004,3.9999
2000-02-14,4.0013,4.0026
2000-02-15,3.999,4.0031
2000-02-16,4.0002,4.0007
2000-02-17,3.9991,4.0011
2000-02-18,4.0044,4.0041
2000-02-21,4.0049,4.0012
2000-02-22,4.0028,4.0027
2000-02-23,4.0005,4.0026
2000-02-24,3.993,3.9934
2000-02-25,4.0061,4.0009
2000-02-28,4.0015,4.0033
2000-02-29,3.9971,4.0033
2000-03-01,3.9989,4.0033
2000-03-02,4.0003,4.0028
2000-03-03,4.0023,4.0018
2000-03-06,4.001,3.9992
2000-03-07,4.0048,3.9992
2000-03-08,4.0015,4.001
2000-03-09,4.0003,3.9945
2000-03-10,4.0011,4.0022
2000-03-13,3.9983,4.0017
2000-03-14,3.9969,4.0017
2000-03-15,3.9992,4.0008
2000-03-16,3.998,3.9995
2000-03-17,4.0082,3.9961
2000-03-20,4.0,3.9988
2000-03-21,4.0002,3.9988
2000-03-22,4.002,4.0003
2000-03-23,4.0004,4.0
2000-03-24,3.9858,3.9994
2000-03-27,4.0028,3.9994
2000-03-28,4.002,3.9994
2000-03-29,4.0019,3.9987
2000-03-30,4.0017,4.0015
2000-03-31,3.998,4.0043
2000-04-03,3.9995,4.0106
2000-04-04,3.9937,4.0106
2000-04-05,4.0038,4.0013
2000-04-06,3.9972,4.0009
2000-04-07,3.9978,3.9985
2000-04-10,4.0047,4.0006
2000-04-11,3.9968,4.0006
2000-04-12,4.0028,3.9987
2000-04-13,3.9995,4.0025
2000-04-14,4.0035,3.9991
2000-04-17,4.0022,3.9989
2000-04-18,4.0083,3.9989
2000-04-19,4.002,4.0022
2000-04-20,4.0106,4.0002
2000-04-21,4.0041,3.9964
2000-04-24,4.0041,4.0022
2000-04-25,4.0041,4.0022
2000-04-26,4.0019,4.0005
2000-04-27,4.0025,4.0005
2000-04-28,4.0033,4.0013
2000-05-01,3.9958,4.0008
2000-05-02,3.9958,4.0008
2000-05-03,3.9974,3.9995
2000-05-04,4.0038,4.001
2000-05-05,4.0007,4.0014
2000-05-08,3.9991,4.0012
2000-05-09,3.9958,4.0012
2000-05-10,3.9903,4.0012
2000-05-11,3.9937,4.0013
2000-05-12,4.0073,4.0035
2000-05-15,4.0065,4.0015
2000-05-16,4.0005,4.0015
2000-05-17,4.0038,4.0011
2000-05-18,3.9992,4.0022
2000-05-19,3.9978,4.0016
2000-05-22,3.9946,4.0021
2000-05-23,3.9959,4.0021
2000-05-24,3.9977,4.0011
2000-05-25,4.0037,4.0019
2000-05-26,4.0124,4.0015
2000-05-29,3.9962,4.0019
2000-05-30,4.0004,4.0019
2000-05-31,4.0021,4.001
2000-06-01,3.9951,4.0015
2000-06-02,4.0,4.0013
2000-06-05,3.9998,4.0013
2000-06-06,3.9985,4.0013
2000-06-07,3.9952,4.0019
2000-06-08,4.0029,4.0028
2000-06-09,4.0034,4.0018
2000-06-12,4.0091,4.0015
2000-06-13,3.9975,4.0015
2000-06-14,3.9975,3.9982
2000-06-15,4.0004,3.9989
2000-06-16,3.999,3.9996
2000-06-19,4.0,3.9989
2000-06-20,4.001,3.9989
2000-06-21,4.0025,3.9971
2000-06-22,4.0018,4.0017
2000-06-23,4.0031,4.0
2000-06-26,4.0013,4.0034
2000-06-27,4.0026,4.0034
2000-06-28,4.0003,4.0009
2000-06-29,3.9977,4.0002
2000-06-30,4.0006,4.0001
2000-07-03,3.9959,4.0001
2000-07-04,4.0005,4.0001
2000-07-05,4.002,4.0021
2000-07-06,4.0026,4.0006
2000-07-07,4.0074,4.0014
2000-07-10,4.0016,3.9981
2000-07-11,3.9978,3.9981
2000-07-12,3.9983,3.9991
2000-07-13,4.0004,4.0014
2000-07-14,4.0002,4.0006
2000-07-17,4.0031,4.0006
2000-07-18,4.0082,4.0006
2000-07-19,4.0005,4.0025
2000-07-20,3.9959,4.0011
2000-07-21,3.9937,4.0005
2000-07-24,3.9958,4.001
2000-07-25,3.9979,4.001
2000-07-26,3.9993,4.0014
2000-07-27,4.0032,4.0041
2000-07-28,4.0013,4.0014
2000-07-31,4.0017,4.0006
2000-08-01,4.0065,4.0006
2000-08-02,4.0013,4.0016
