Date,LVL,YTD
1999-06-08,0.59713,?
1999-06-09,0.59721,?
1999-06-10,0.59517,?
1999-06-11,0.59462,?
1999-06-14,0.59376,?
1999-06-15,0.59605,?
1999-06-16,0.59767,?
1999-06-17,0.59865,?
1999-06-18,0.59903,?
1999-06-21,0.59732,?
1999-06-22,0.60054,?
1999-06-23,0.60089,?
1999-06-24,0.60282,?
1999-06-25,0.60227,?
1999-06-28,0.59877,?
1999-06-29,0.60002,?
1999-06-30,0.60044,?
1999-07-01,0.60147,?
1999-07-02,0.60181,?
1999-07-05,0.60346,?
1999-07-06,0.60409,?
1999-07-07,0.60464,?
1999-07-08,0.60565,?
1999-07-09,0.60725,?
1999-07-12,0.60692,?
1999-07-13,0.60846,?
1999-07-14,0.60748,?
1999-07-15,0.60838,?
1999-07-16,0.60602,?
1999-07-19,0.60655,?
1999-07-20,0.60723,?
1999-07-21,0.60096,?
1999-07-22,0.60065,?
1999-07-23,0.59901,?
1999-07-26,0.59775,?
1999-07-27,0.59376,?
1999-07-28,0.59518,?
1999-07-29,0.59502,?
1999-07-30,0.59223,?
1999-08-02,0.59117,?
1999-08-03,0.59062,?
1999-08-04,0.59286,?
1999-08-05,0.58972,?
1999-08-06,0.58947,?
1999-08-09,0.59069,?
1999-08-10,0.59206,?
1999-08-11,0.59104,?
1999-08-12,0.59196,?
1999-08-13,0.59325,?
1999-08-16,0.59201,?
1999-08-17,0.59282,?
1999-08-18,0.59352,?
1999-08-19,0.59323,?
1999-08-20,0.5918,?
1999-08-23,0.58348,?
1999-08-24,0.58967,?
1999-08-25,0.59237,?
1999-08-26,0.59302,?
1999-08-27,0.5929,?
1999-08-30,0.59349,?
1999-08-31,0.59288,?
1999-09-01,0.58839,?
1999-09-02,0.58777,?
1999-09-03,0.58685,?
1999-09-06,0.58725,?
1999-09-07,0.58882,?
1999-09-08,0.59044,?
1999-09-09,0.58805,?
1999-09-10,0.58695,?
1999-09-13,0.58783,?
1999-09-14,0.58838,?
1999-09-15,0.58879,?
1999-09-16,0.58646,?
1999-09-17,0.58581,?
1999-09-20,0.58584,?
1999-09-21,0.58716,?
1999-09-22,0.585,?
1999-09-23,0.58226,?
1999-09-24,0.58399,?
1999-09-27,0.58343,?
1999-09-28,0.58527,?
1999-09-29,0.58466,?
1999-09-30,0.58269,?
1999-10-01,0.57918,?
1999-10-04,0.57802,?
1999-10-05,0.57851,?
1999-10-06,0.58076,?
1999-10-07,0.58107,?
1999-10-08,0.58011,?
1999-10-11,0.58121,?
1999-10-12,0.58094,?
1999-10-13,0.5793,?
1999-10-14,0.57775,?
1999-10-15,0.57734,?
1999-10-18,0.57282,?
1999-10-19,0.57223,?
1999-10-20,0.57321,?
1999-10-21,0.57502,?
1999-10-22,0.57433,?
1999-10-25,0.57436,?
1999-10-26,0.57624,?
1999-10-27,0.57914,?
1999-10-28,0.58188,?
1999-10-29,0.58202,?
1999-11-01,0.58481,?
1999-11-02,0.58116,?
1999-11-03,0.58304,?
1999-11-04,0.58174,?
1999-11-05,0.5813,?
1999-11-08,0.58321,?
1999-11-09,0.58539,?
1999-11-10,0.58394,?
1999-11-11,0.5845,?
1999-11-12,0.58476,?
1999-11-15,0.58624,?
1999-11-16,0.58645,?
1999-11-17,0.58678,?
1999-11-18,0.58542,?
1999-11-19,0.58593,?
1999-11-22,0.58955,?
1999-11-23,0.58685,?
1999-11-24,0.58691,?
1999-11-25,0.58845,?
1999-11-26,0.58897,?
1999-11-29,0.59044,?
1999-11-30,0.58956,?
1999-12-01,0.58869,?
1999-12-02,0.58924,?
1999-12-03,0.59014,?
1999-12-06,0.59031,?
1999-12-07,0.58623,?
1999-12-08,0.58492,?
1999-12-09,0.5848,?
1999-12-10,0.58428,?
1999-12-13,0.58466,?
1999-12-14,0.58323,?
1999-12-15,0.58468,?
1999-12-16,0.58467,?
1999-12-17,0.58476,?
1999-12-20,0.58778,?
1999-12-21,0.58459,?
1999-12-22,0.58578,?
1999-12-23,0.58537,?
1999-12-24,0.58509,?
1999-12-27,0.5845,?
1999-12-28,0.58427,?
1999-12-29,0.58539,?
1999-12-30,0.58539,?
1999-12-31,0.58541,?
2000-01-03,0.58541,?
2000-01-04,0.58632,?
2000-01-05,0.58282,0.56561
2000-01-06,0.58218,0.56463
2000-01-07,0.58337,0.56621
2000-01-10,0.58557,0.56972
2000-01-11,0.5852,0.57072
2000-01-12,0.58649,0.56928
2000-01-13,0.58508,0.573
2000-01-14,0.58603,0.56846
2000-01-17,0.58484,0.57144
2000-01-18,0.58619,0.56916
2000-01-19,0.58546,0.57053
2000-01-20,0.58615,0.56904
2000-01-21,0.58598,0.56942
2000-01-24,0.58512,0.56991
2000-01-25,0.58692,0.57085
2000-01-26,0.58703,0.5701
2000-01-27,0.58708,0.57166
2000-01-28,0.58701,0.57308
2000-01-31,0.5923,0.57599
2000-02-01,0.59534,0.57546
2000-02-02,0.59784,0.57532
2000-02-03,0.59813,0.57387
2000-02-04,0.59787,0.57334
2000-02-07,0.59797,0.57258
2000-02-08,0.59885,0.57129
2000-02-09,0.59457,0.57229
2000-02-10,0.59382,0.57434
2000-02-11,0.59414,0.57653
2000-02-14,0.59586,0.57443
2000-02-15,0.5941,0.57542
2000-02-16,0.59552,0.57537
2000-02-17,0.59425,0.57785
2000-02-18,0.59361,0.57691
2000-02-21,0.59501,0.5779
2000-02-22,0.59602,0.57932
2000-02-23,0.5922,0.58197
2000-02-24,0.59148,0.58228
2000-02-25,0.59507,0.58358
2000-02-28,0.59533,0.58481
2000-02-29,0.59633,0.58481
2000-03-01,0.59646,0.58377
2000-03-02,0.59657,0.58374
2000-03-03,0.59434,0.58529
2000-03-06,0.5954,0.58743
2000-03-07,0.59575,0.58743
2000-03-08,0.59491,0.58815
2000-03-09,0.59688,0.58572
2000-03-10,0.59515,0.58796
2000-03-13,0.59482,0.587
2000-03-14,0.59181,0.587
2000-03-15,0.59366,0.58489
2000-03-16,0.59314,0.58425
2000-03-17,0.5936,0.58664
2000-03-20,0.59367,0.58763
2000-03-21,0.59393,0.58763
2000-03-22,0.59437,0.58882
2000-03-23,0.59513,0.58763
2000-03-24,0.59186,0.58636
2000-03-27,0.5931,0.5857
2000-03-28,0.59164,0.5857
2000-03-29,0.59179,0.58779
2000-03-30,0.59406,0.59119
