Date,CYP,YTD
1999-11-19,0.55681,?
1999-11-22,0.56195,?
1999-11-23,0.56021,?
1999-11-24,0.56006,?
1999-11-25,0.56522,?
1999-11-26,0.56624,?
1999-11-29,0.57126,?
1999-11-30,0.57259,?
1999-12-01,0.57139,?
1999-12-02,0.57167,?
1999-12-03,0.57353,?
1999-12-06,0.57577,?
1999-12-07,0.56656,?
1999-12-08,0.56385,?
1999-12-09,0.56412,?
1999-12-10,0.56744,?
1999-12-13,0.56878,?
1999-12-14,0.56974,?
1999-12-15,0.57485,?
1999-12-16,0.57546,?
1999-12-17,0.56866,?
1999-12-20,0.56988,?
1999-12-21,0.57122,?
1999-12-22,0.57206,?
1999-12-23,0.57259,?
1999-12-24,0.57174,?
1999-12-27,0.57005,?
1999-12-28,0.56937,?
1999-12-29,0.57188,?
1999-12-30,0.57271,?
1999-12-31,0.57403,?
2000-01-03,0.57403,?
2000-01-04,0.57156,?
2000-01-05,0.56041,0.49394
2000-01-06,0.55729,0.49389
2000-01-07,0.55651,0.49561
2000-01-10,0.56162,0.50023
2000-01-11,0.56447,0.49907
2000-01-12,0.56318,0.50278
2000-01-13,0.56041,0.50469
2000-01-14,0.56209,0.49549
2000-01-17,0.56472,0.49936
2000-01-18,0.5716,0.50049
2000-01-19,0.57151,0.50089
2000-01-20,0.57091,0.50083
2000-01-21,0.57178,0.50251
2000-01-24,0.57149,0.50262
2000-01-25,0.57548,0.50292
2000-01-26,0.57614,0.50213
2000-01-27,0.57551,0.50241
2000-01-28,0.57793,0.50435
2000-01-31,0.58489,0.5094
2000-02-01,0.59092,0.51047
2000-02-02,0.59252,0.51252
2000-02-03,0.5922,0.51236
2000-02-04,0.59042,0.51241
2000-02-07,0.58563,0.5156
2000-02-08,0.58882,0.51443
2000-02-09,0.58164,0.51645
2000-02-10,0.58003,0.51257
2000-02-11,0.58388,0.51218
2000-02-14,0.58763,0.51351
2000-02-15,0.58394,0.51641
2000-02-16,0.58887,0.51675
2000-02-17,0.58731,0.51943
2000-02-18,0.58095,0.516
2000-02-21,0.5844,0.517
2000-02-22,0.5844,0.52
2000-02-23,0.57523,0.52766
2000-02-24,0.5728,0.52865
2000-02-25,0.58224,0.52542
2000-02-28,0.58705,0.5258
2000-02-29,0.59686,0.5258
2000-03-01,0.59252,0.52642
2000-03-02,0.59519,0.52786
2000-03-03,0.59167,0.53232
2000-03-06,0.59555,0.53332
2000-03-07,0.59668,0.53332
2000-03-08,0.59936,0.53483
2000-03-09,0.60237,0.53143
2000-03-10,0.59807,0.5335
2000-03-13,0.59836,0.53222
2000-03-14,0.59273,0.53222
2000-03-15,0.59783,0.53029
2000-03-16,0.59626,0.52953
2000-03-17,0.59541,0.53161
2000-03-20,0.59482,0.52668
2000-03-21,0.59232,0.52668
2000-03-22,0.59318,0.53114
2000-03-23,0.59878,0.53345
2000-03-24,0.59557,0.53198
2000-03-27,0.59225,0.53194
2000-03-28,0.59258,0.53194
2000-03-29,0.59629,0.53568
2000-03-30,0.60079,0.54169
2000-03-31,0.60168,0.5406
2000-04-03,0.60167,0.53877
2000-04-04,0.60091,0.53877
2000-04-05,0.60252,0.53877
2000-04-06,0.59466,0.53888
2000-04-07,0.59744,0.53991
2000-04-10,0.60119,0.53553
2000-04-11,0.59949,0.53553
2000-04-12,0.59945,0.53853
2000-04-13,0.60037,0.5342
2000-04-14,0.60275,0.53813
2000-04-17,0.60249,0.53709
2000-04-18,0.60066,0.53709
2000-04-19,0.60501,0.54272
2000-04-20,0.60718,0.54423
2000-04-21,0.61239,0.54372
2000-04-24,0.61239,0.54696
2000-04-25,0.61239,0.54696
2000-04-26,0.61699,0.54426
2000-04-27,0.62366,0.54522
2000-04-28,0.62577,0.5445
2000-05-01,0.63104,0.54574
2000-05-02,0.63104,0.54574
2000-05-03,0.62994,0.54604
2000-05-04,0.64222,0.54648
2000-05-05,0.63978,0.54765
2000-05-08,0.63714,0.5365
2000-05-09,0.63942,0.5365
2000-05-10,0.63756,0.53709
2000-05-11,0.62911,0.53946
2000-05-12,0.63095,0.53967
2000-05-15,0.63426,0.54494
2000-05-16,0.62658,0.54494
2000-05-17,0.63188,0.54224
2000-05-18,0.64157,0.54179
2000-05-19,0.64014,0.5416
2000-05-22,0.64497,0.54404
2000-05-23,0.63601,0.54404
2000-05-24,0.62891,0.54736
2000-05-25,0.6297,0.54662
2000-05-26,0.6375,0.54459
2000-05-29,0.62679,0.55192
2000-05-30,0.61933,0.55192
2000-05-31,0.61337,0.55181
2000-06-01,0.61678,0.55327
2000-06-02,0.6151,0.55399
2000-06-05,0.6136,0.55654
2000-06-06,0.60887,0.55654
2000-06-07,0.60561,0.56003
2000-06-08,0.60167,0.55991
2000-06-09,0.59468,0.55645
2000-06-12,0.6057,0.55197
2000-06-13,0.60324,0.55197
2000-06-14,0.59993,0.55207
2000-06-15,0.59683,0.55396
2000-06-16,0.6034,0.55617
2000-06-19,0.60109,0.55877
2000-06-20,0.59663,0.55877
2000-06-21,0.60268,0.55612
2000-06-22,0.60674,0.55879
2000-06-23,0.61055,0.56023
2000-06-26,0.60989,0.5598
2000-06-27,0.61527,0.5598
2000-06-28,0.61081,0.55463
2000-06-29,0.60993,0.55631
2000-06-30,0.60464,0.55751
2000-07-03,0.60159,0.56294
2000-07-04,0.6053,0.56294
2000-07-05,0.60558,0.56378
2000-07-06,0.60272,0.56428
2000-07-07,0.6025,0.56482
2000-07-10,0.60591,0.56691
2000-07-11,0.60343,0.56691
2000-07-12,0.60332,0.56566
2000-07-13,0.60681,0.56996
2000-07-14,0.61399,0.5667
2000-07-17,0.61432,0.56592
2000-07-18,0.6139,0.56592
2000-07-19,0.61365,0.5658
2000-07-20,0.62224,0.56873
2000-07-21,0.62187,0.55511
2000-07-24,0.61304,0.55081
2000-07-25,0.61503,0.55081
2000-07-26,0.61026,0.55097
2000-07-27,0.61152,0.54113
2000-07-28,0.61155,0.54459
2000-07-31,0.61839,0.54208
2000-08-01,0.6205,0.54208
2000-08-02,0.61916,0.54143
2000-08-03,0.62692,0.54278
2000-08-04,0.63451,0.54377
2000-08-07,0.6343,0.53681
2000-08-08,0.63056,0.53681
2000-08-09,0.63296,0.53921
2000-08-10,0.63792,0.54081
2000-08-11,0.63405,0.53942
2000-08-14,0.62754,0.54409
2000-08-15,0.63546,0.54409
2000-08-16,0.62805,0.54267
2000-08-17,0.63144,0.54822
2000-08-18,0.62699,0.54942
2000-08-21,0.62788,0.54997
2000-08-22,0.63461,0.54997
2000-08-23,0.638,0.5427
2000-08-24,0.64186,0.5457
2000-08-25,0.63524,0.55017
2000-08-28,0.63464,0.55409
2000-08-29,0.63559,0.55409
2000-08-30,0.63857,0.55323
2000-08-31,0.64251,0.55302
2000-09-01,0.64272,0.54705
2000-09-04,0.64301,0.5429
2000-09-05,0.63609,0.5429
2000-09-06,0.64417,0.54198
2000-09-07,0.64914,0.54631
2000-09-08,0.65976,0.54751
2000-09-11,0.65531,0.54626
2000-09-12,0.6649,0.54626
2000-09-13,0.66451,0.54981
2000-09-14,0.66144,0.5586
2000-09-15,0.65847,0.55755
2000-09-18,0.66443,0.5572
2000-09-19,0.67137,0.5572
2000-09-20,0.67019,0.55586
2000-09-21,0.67533,0.55548
2000-09-22,0.67153,0.55644
2000-09-25,0.64388,0.55427
2000-09-26,0.65269,0.55427
2000-09-27,0.65366,0.55193
2000-09-28,0.64599,0.55512
2000-09-29,0.64811,0.55153
2000-10-02,0.65306,0.5428
2000-10-03,0.65032,0.5428
2000-10-04,0.65321,0.53978
2000-10-05,0.65568,0.54024
2000-10-06,0.6515,0.5418
2000-10-09,0.65772,0.53963
2000-10-10,0.65832,0.53963
2000-10-11,0.65636,0.54315
2000-10-12,0.65643,0.54442
2000-10-13,0.6619,0.54262
2000-10-16,0.66351,0.53843
2000-10-17,0.67255,0.53843
2000-10-18,0.67374,0.53333
2000-10-19,0.67145,0.53303
2000-10-20,0.68055,0.53559
2000-10-23,0.67725,0.53645
2000-10-24,0.68331,0.53645
2000-10-25,0.68258,0.53846
2000-10-26,0.68907,0.54189
2000-10-27,0.69366,0.54429
2000-10-30,0.68766,0.54917
2000-10-31,0.67485,0.54917
2000-11-01,0.68006,0.55308
2000-11-02,0.66917,0.54724
2000-11-03,0.66205,0.55011
2000-11-06,0.65568,0.5505
2000-11-07,0.66045,0.5505
2000-11-08,0.6666,0.55527
2000-11-09,0.66878,0.5555
2000-11-10,0.67098,0.556
2000-11-13,0.65999,0.55542
2000-11-14,0.66405,0.55542
2000-11-15,0.66691,0.56056
2000-11-16,0.6659,0.56089
2000-11-17,0.668,0.55895
2000-11-20,0.67066,0.55681
2000-11-21,0.67438,0.55681
2000-11-22,0.67549,0.56195
2000-11-23,0.6791,0.56021
2000-11-24,0.67926,0.56006
2000-11-27,0.67853,0.56624
2000-11-28,0.68095,0.56624
2000-11-29,0.66863,0.57126
2000-11-30,0.66175,0.57259
2000-12-01,0.65915,0.57139
2000-12-04,0.65531,0.57353
2000-12-05,0.64258,0.57353
2000-12-06,0.64973,0.57577
2000-12-07,0.6484,0.56656
2000-12-08,0.64006,0.56385
2000-12-11,0.64352,0.56744
2000-12-12,0.65017,0.56744
2000-12-13,0.6518,0.56878
2000-12-14,0.65433,0.56974
2000-12-15,0.6476,0.57485
2000-12-18,0.63714,0.56866
2000-12-19,0.63842,0.56866
2000-12-20,0.64294,0.56988
2000-12-21,0.63187,0.57122
2000-12-22,0.62658,0.57206
2000-12-25,0.62055,0.57174
2000-12-26,0.62055,0.57174
2000-12-27,0.62055,0.57005
2000-12-28,0.61635,0.56937
2000-12-29,0.61779,0.57188
2001-01-01,0.61654,0.57403
2001-01-02,0.61654,0.57403
2001-01-03,0.60969,0.57403
2001-01-04,0.60334,0.57156
2001-01-05,0.60881,0.56041
2001-01-08,0.60384,0.55651
2001-01-09,0.60732,0.55651
2001-01-10,0.61341,0.56162
2001-01-11,0.6128,0.56447
2001-01-12,0.6059,0.56318
2001-01-15,0.60471,0.56209
2001-01-16,0.61222,0.56209
2001-01-17,0.62018,0.56472
2001-01-18,0.61462,0.5716
2001-01-19,0.61403,0.57151
2001-01-22,0.61454,0.57178
2001-01-23,0.6221,0.57178
2001-01-24,0.61447,0.57149
2001-01-25,0.62194,0.57548
2001-01-26,0.632,0.57614
2001-01-29,0.62676,0.57793
2001-01-30,0.62928,0.57793
2001-01-31,0.62909,0.58489
2001-02-01,0.6228,0.59092
2001-02-02,0.61589,0.59252
2001-02-05,0.61604,0.59042
2001-02-06,0.61486,0.59042
2001-02-07,0.62169,0.58563
2001-02-08,0.62131,0.58882
2001-02-09,0.62838,0.58164
2001-02-12,0.62806,0.58388
2001-02-13,0.62397,0.58388
2001-02-14,0.62492,0.58763
2001-02-15,0.63134,0.58394
2001-02-16,0.63741,0.58887
2001-02-19,0.63559,0.58095
2001-02-20,0.62872,0.58095
2001-02-21,0.6386,0.5844
2001-02-22,0.63318,0.5844
2001-02-23,0.63959,0.57523
2001-02-26,0.63898,0.58224
2001-02-27,0.63617,0.58224
2001-02-28,0.63207,0.58705
2001-03-01,0.62634,0.59252
2001-03-02,0.62503,0.59519
2001-03-05,0.61875,0.59167
2001-03-06,0.6225,0.59555
2001-03-07,0.62425,0.59668
2001-03-08,0.62226,0.59936
2001-03-09,0.62193,0.60237
2001-03-12,0.61891,0.59807
2001-03-13,0.6245,0.59836
2001-03-14,0.62925,0.59273
2001-03-15,0.63041,0.59783
2001-03-16,0.63857,0.59626
2001-03-19,0.64685,0.59541
2001-03-20,0.64385,0.59482
2001-03-21,0.64195,0.59232
2001-03-22,0.64376,0.59318
2001-03-23,0.65074,0.59878
2001-03-26,0.64825,0.59557
2001-03-27,0.64739,0.59225
2001-03-28,0.64641,0.59258
2001-03-29,0.65313,0.59629
2001-03-30,0.6548,0.60079
2001-04-02,0.65542,0.60168
2001-04-03,0.65976,0.60167
2001-04-04,0.65415,0.60091
2001-04-05,0.64058,0.60252
2001-04-06,0.64157,0.59466
2001-04-09,0.64747,0.59744
2001-04-10,0.64194,0.60119
2001-04-11,0.64707,0.59949
2001-04-12,0.65449,0.59945
2001-04-13,0.65394,0.60037
2001-04-16,0.65394,0.60275
2001-04-17,0.65394,0.60249
2001-04-18,0.65788,0.60066
2001-04-19,0.65908,0.60501
2001-04-20,0.65531,0.60718
2001-04-23,0.6435,0.61239
2001-04-24,0.64279,0.61239
2001-04-25,0.64471,0.61239
2001-04-26,0.64641,0.61699
2001-04-27,0.64185,0.62366
2001-04-30,0.64114,0.62577
2001-05-01,0.65187,0.63104
2001-05-02,0.65187,0.63104
2001-05-03,0.64949,0.62994
2001-05-04,0.64975,0.64222
2001-05-07,0.64691,0.63978
2001-05-08,0.64828,0.63714
2001-05-09,0.6522,0.63942
2001-05-10,0.655,0.63756
2001-05-11,0.65345,0.62911
2001-05-14,0.6593,0.63095
2001-05-15,0.66152,0.63426
2001-05-16,0.65949,0.62658
2001-05-17,0.65444,0.63188
2001-05-18,0.65551,0.64157
2001-05-21,0.658,0.64014
2001-05-22,0.6595,0.64497
2001-05-23,0.66456,0.63601
2001-05-24,0.67222,0.62891
2001-05-25,0.6707,0.6297
2001-05-28,0.6716,0.6375
2001-05-29,0.67218,0.62679
2001-05-30,0.67458,0.61933
2001-05-31,0.67376,0.61337
2001-06-01,0.68015,0.61678
2001-06-04,0.67964,0.6151
2001-06-05,0.67708,0.6136
2001-06-06,0.6805,0.60887
2001-06-07,0.67428,0.60561
2001-06-08,0.6801,0.60167
2001-06-11,0.67975,0.59468
2001-06-12,0.67758,0.6057
2001-06-13,0.67895,0.60324
2001-06-14,0.67336,0.59993
2001-06-15,0.6772,0.59683
2001-06-18,0.66387,0.6034
2001-06-19,0.67019,0.60109
2001-06-20,0.67174,0.59663
2001-06-21,0.67521,0.60268
2001-06-22,0.67202,0.60674
2001-06-25,0.67376,0.61055
2001-06-26,0.66734,0.60989
2001-06-27,0.66691,0.61527
2001-06-28,0.66623,0.61081
2001-06-29,0.67487,0.60993
2001-07-02,0.67722,0.60464
2001-07-03,0.6791,0.60159
2001-07-04,0.67567,0.6053
2001-07-05,0.67907,0.60558
2001-07-06,0.68149,0.60272
2001-07-09,0.6846,0.6025
2001-07-10,0.67851,0.60591
2001-07-11,0.67134,0.60343
2001-07-12,0.66631,0.60332
2001-07-13,0.67243,0.60681
2001-07-16,0.6725,0.61399
2001-07-17,0.66914,0.61432
2001-07-18,0.67432,0.6139
2001-07-19,0.66526,0.61365
2001-07-20,0.6582,0.62224
2001-07-23,0.65416,0.62187
2001-07-24,0.66154,0.61304
2001-07-25,0.65884,0.61503
2001-07-26,0.65274,0.61026
2001-07-27,0.65505,0.61152
2001-07-30,0.65471,0.61155
2001-07-31,0.65591,0.61839
2001-08-01,0.6555,0.6205
2001-08-02,0.65092,0.61916
2001-08-03,0.65307,0.62692
2001-08-06,0.65167,0.63451
2001-08-07,0.65174,0.6343
2001-08-08,0.65433,0.63056
2001-08-09,0.65459,0.63296
2001-08-10,0.64794,0.63792
2001-08-13,0.64185,0.63405
2001-08-14,0.63939,0.62754
2001-08-15,0.63993,0.63546
2001-08-16,0.63073,0.62805
2001-08-17,0.62779,0.63144
2001-08-20,0.62814,0.62699
2001-08-21,0.62749,0.62788
2001-08-22,0.62871,0.63461
2001-08-23,0.62246,0.638
2001-08-24,0.62917,0.64186
2001-08-27,0.62908,0.63524
2001-08-28,0.63008,0.63464
2001-08-29,0.6336,0.63559
2001-08-30,0.62793,0.63857
2001-08-31,0.62962,0.64251
2001-09-03,0.62557,0.64272
2001-09-04,0.63165,0.64301
2001-09-05,0.63887,0.63609
2001-09-06,0.64476,0.64417
2001-09-07,0.64691,0.64914
2001-09-10,0.63986,0.65976
2001-09-11,0.63358,0.65531
2001-09-12,0.63945,0.6649
2001-09-13,0.63348,0.66451
2001-09-14,0.63248,0.66144
2001-09-17,0.62122,0.65847
2001-09-18,0.61791,0.66443
2001-09-19,0.61881,0.67137
2001-09-20,0.61885,0.67019
2001-09-21,0.61897,0.67533
2001-09-24,0.62325,0.67153
2001-09-25,0.62588,0.64388
2001-09-26,0.62528,0.65269
2001-09-27,0.62257,0.65366
2001-09-28,0.62374,0.64599
2001-10-01,0.62901,0.64811
2001-10-02,0.62953,0.65306
2001-10-03,0.62507,0.65032
2001-10-04,0.62361,0.65321
2001-10-05,0.63026,0.65568
2001-10-08,0.62628,0.6515
2001-10-09,0.62356,0.65772
2001-10-10,0.62455,0.65832
2001-10-11,0.62848,0.65636
2001-10-12,0.63336,0.65643
2001-10-15,0.63515,0.6619
2001-10-16,0.63122,0.66351
2001-10-17,0.63453,0.67255
2001-10-18,0.63664,0.67374
2001-10-19,0.63636,0.67145
2001-10-22,0.63761,0.68055
2001-10-23,0.64045,0.67725
2001-10-24,0.64617,0.68331
2001-10-25,0.64403,0.68258
2001-10-26,0.6461,0.68907
2001-10-29,0.64432,0.69366
2001-10-30,0.63746,0.68766
2001-10-31,0.63326,0.67485
2001-11-01,0.63509,0.68006
2001-11-02,0.63147,0.66917
2001-11-05,0.63422,0.66205
2001-11-06,0.64094,0.65568
2001-11-07,0.64106,0.66045
2001-11-08,0.63729,0.6666
2001-11-09,0.63987,0.66878
2001-11-12,0.6424,0.67098
2001-11-13,0.64319,0.65999
2001-11-14,0.64848,0.66405
2001-11-15,0.65051,0.66691
2001-11-16,0.64907,0.6659
2001-11-19,0.64771,0.668
2001-11-20,0.65177,0.67066
2001-11-21,0.64948,0.67438
2001-11-22,0.65198,0.67549
2001-11-23,0.65344,0.6791
2001-11-26,0.65233,0.67926
2001-11-27,0.6507,0.67853
2001-11-28,0.65345,0.68095
2001-11-29,0.65027,0.66863
2001-11-30,0.64625,0.66175
2001-12-03,0.64537,0.65915
2001-12-04,0.64338,0.65531
2001-12-05,0.64505,0.64258
2001-12-06,0.644,0.64973
2001-12-07,0.64662,0.6484
2001-12-10,0.64509,0.64006
2001-12-11,0.64981,0.64352
2001-12-12,0.64524,0.65017
2001-12-13,0.64307,0.6518
2001-12-14,0.64042,0.65433
2001-12-17,0.63762,0.6476
2001-12-18,0.6353,0.63714
2001-12-19,0.63842,0.63842
2001-12-20,0.64067,0.64294
2001-12-21,0.64138,0.63187
2001-12-24,0.64246,0.62658
2001-12-25,0.65308,0.62055
2001-12-26,0.65308,0.62055
2001-12-27,0.65308,0.62055
2001-12-28,0.65205,0.61635
2001-12-31,0.65249,0.61779
2002-01-01,0.65249,0.61654
2002-01-02,0.65249,0.61654
2002-01-03,0.6365,0.60969
2002-01-04,0.63694,0.60334
2002-01-07,0.64285,0.60881
2002-01-08,0.6465,0.60384
2002-01-09,0.64628,0.60732
